seed,step,repeat,instance_id,input_sha256,protocol_sha256,source_sha256,conic_run_id,conic_physical_ok,conic_complete_ok,conic_recovery_attempted,conic_factor_fallback,conic_T_physical_return,conic_T_complete_return,conic_T_root,conic_trajectory_energy_exact,factor_run_id,factor_physical_ok,factor_complete_ok,factor_recovery_attempted,factor_factor_fallback,factor_T_physical_return,factor_T_complete_return,factor_T_root,factor_trajectory_energy_exact,delta_physical_ms,delta_complete_ms
31016,7,0,31016_7,fa927ce0f40bbe47fa32faeaac5a33e0606dcd701a25bda6291b83a4989cf191,fdd937a50ec8c4a28c62f2b1ec78ba15e46c7a39d0a01c699522bffc62cd1f36,39c75ee513e4a6561ba26d5df93519b85af6c42334b4156a9f8301ebc5e3b0b2,A_r0_s31016_t7_conic,True,True,False,False,32.72845900210086,66.92691700300202,25.347709000925533,"[""234197706905820562604940993921226912968333433"",""14634864036535721436632815116425487238299648""]",A_r0_s31016_t7_factor,True,True,False,False,11.530916999618057,44.35670899692923,4.105083004105836,"[""234197706896751505618490781575539501700124083"",""14634864036535721436632815116425487238299648""]",-21.197542002482805,-22.57020800607279
31016,7,1,31016_7,fa927ce0f40bbe47fa32faeaac5a33e0606dcd701a25bda6291b83a4989cf191,fdd937a50ec8c4a28c62f2b1ec78ba15e46c7a39d0a01c699522bffc62cd1f36,39c75ee513e4a6561ba26d5df93519b85af6c42334b4156a9f8301ebc5e3b0b2,A_r1_s31016_t7_conic,True,True,False,False,31.99045800283784,66.03420800092863,24.755083002673928,"[""234197706905820562604940993921226912968333433"",""14634864036535721436632815116425487238299648""]",A_r1_s31016_t7_factor,True,True,False,False,11.928542000532616,45.127499994123355,4.593541998474393,"[""234197706896751505618490781575539501700124083"",""14634864036535721436632815116425487238299648""]",-20.061916002305225,-20.906708006805275
31017,0,0,31017_0,faea6bb4c3243361fcd2f1dbd515166497f416d8e815b41c62dffd47f1561f94,fdd937a50ec8c4a28c62f2b1ec78ba15e46c7a39d0a01c699522bffc62cd1f36,39c75ee513e4a6561ba26d5df93519b85af6c42334b4156a9f8301ebc5e3b0b2,A_r0_s31017_t0_conic,True,True,True,False,133.84175000101095,168.1402089961921,38.10554200026672,"[""373122447671132387220227280383669772782033520122643839"",""19320093857447233300813075216188681387152042134339584""]",A_r0_s31017_t0_factor,True,True,True,True,139.17262500035577,174.24583299725782,40.71370800375007,"[""373122447671132387220227280383669772782033520122643839"",""19320093857447233300813075216188681387152042134339584""]",5.330874999344815,6.105624001065735
31017,0,1,31017_0,faea6bb4c3243361fcd2f1dbd515166497f416d8e815b41c62dffd47f1561f94,fdd937a50ec8c4a28c62f2b1ec78ba15e46c7a39d0a01c699522bffc62cd1f36,39c75ee513e4a6561ba26d5df93519b85af6c42334b4156a9f8301ebc5e3b0b2,A_r1_s31017_t0_conic,True,True,True,False,133.5696669993922,168.1191250027041,37.863666999328416,"[""373122447671132387220227280383669772782033520122643839"",""19320093857447233300813075216188681387152042134339584""]",A_r1_s31017_t0_factor,True,True,True,True,136.3656249959604,170.5905420021736,40.64862499944866,"[""373122447671132387220227280383669772782033520122643839"",""19320093857447233300813075216188681387152042134339584""]",2.795957996568177,2.471416999469511
31017,1,0,31017_1,2a13a52d46f46933bf7d932ced50d3f1d4ce8b0f14ff0b67ec4916e3c07949bb,fdd937a50ec8c4a28c62f2b1ec78ba15e46c7a39d0a01c699522bffc62cd1f36,39c75ee513e4a6561ba26d5df93519b85af6c42334b4156a9f8301ebc5e3b0b2,A_r0_s31017_t1_conic,True,True,True,False,91.35591700032819,126.12712499685585,24.012916001083795,"[""212909814501293370839763197232953025815025655408614514537"",""11305014920014838228590050869358405565967823511750705152""]",A_r0_s31017_t1_factor,True,True,True,False,75.84279099683044,114.71499999606749,5.0923330054502,"[""70969957579951435544476645334952483755712038516809238499"",""3768338306671612742863350289786135188655941170583568384""]",-15.513126003497746,-11.412125000788365
31017,1,1,31017_1,2a13a52d46f46933bf7d932ced50d3f1d4ce8b0f14ff0b67ec4916e3c07949bb,fdd937a50ec8c4a28c62f2b1ec78ba15e46c7a39d0a01c699522bffc62cd1f36,39c75ee513e4a6561ba26d5df93519b85af6c42334b4156a9f8301ebc5e3b0b2,A_r1_s31017_t1_conic,True,True,True,False,91.78679199976614,130.21766699966975,23.801208000804763,"[""212909814501293370839763197232953025815025655408614514537"",""11305014920014838228590050869358405565967823511750705152""]",A_r1_s31017_t1_factor,True,True,True,False,74.85179200011771,114.47366700303974,5.055374997027684,"[""70969957579951435544476645334952483755712038516809238499"",""3768338306671612742863350289786135188655941170583568384""]",-16.934999999648426,-15.74399999663001
31017,2,0,31017_2,6460165e654bf255ae7849ed226fc4683f72c0ce5e1bb18f692cb4c44e9fd209,fdd937a50ec8c4a28c62f2b1ec78ba15e46c7a39d0a01c699522bffc62cd1f36,39c75ee513e4a6561ba26d5df93519b85af6c42334b4156a9f8301ebc5e3b0b2,A_r0_s31017_t2_conic,True,True,False,False,30.458416003966704,64.90000000485452,23.270084006071556,"[""14431929404971345117155859143722160239957"",""893241213167463466591358344508391555072""]",A_r0_s31017_t2_factor,True,True,False,False,28.40637500048615,71.95804100047098,5.096707995107863,"[""28863858807898709464631503908759871553939"",""1786482426334926933182716689016783110144""]",-2.0520410034805536,7.058040995616466
31017,2,1,31017_2,6460165e654bf255ae7849ed226fc4683f72c0ce5e1bb18f692cb4c44e9fd209,fdd937a50ec8c4a28c62f2b1ec78ba15e46c7a39d0a01c699522bffc62cd1f36,39c75ee513e4a6561ba26d5df93519b85af6c42334b4156a9f8301ebc5e3b0b2,A_r1_s31017_t2_conic,True,True,False,False,30.4555420007091,64.95341700065183,23.209625003801193,"[""14431929404971345117155859143722160239957"",""893241213167463466591358344508391555072""]",A_r1_s31017_t2_factor,True,True,False,False,25.495208996289875,69.29716699960409,5.244458996457979,"[""28863858807898709464631503908759871553939"",""1786482426334926933182716689016783110144""]",-4.960333004419226,4.343749998952262
31017,3,0,31017_3,1e1924d1b44dfca9cbfc36ce4ab24d3382e62d27b711d148794e7bf34a18fe1c,fdd937a50ec8c4a28c62f2b1ec78ba15e46c7a39d0a01c699522bffc62cd1f36,39c75ee513e4a6561ba26d5df93519b85af6c42334b4156a9f8301ebc5e3b0b2,A_r0_s31017_t3_conic,True,True,False,False,32.3442500011879,66.12245900032576,25.117458004388027,"[""14436143148310501919235009980780958189697"",""893241213167463466591358344508391555072""]",A_r0_s31017_t3_factor,True,True,True,False,81.24779199715704,138.2979170011822,5.030082997109275,"[""89065373078712219895274397122215654760801203119428349319"",""4945944027506491725008147255344302435110922786390933504""]",48.903541995969135,72.17545800085645
31017,3,1,31017_3,1e1924d1b44dfca9cbfc36ce4ab24d3382e62d27b711d148794e7bf34a18fe1c,fdd937a50ec8c4a28c62f2b1ec78ba15e46c7a39d0a01c699522bffc62cd1f36,39c75ee513e4a6561ba26d5df93519b85af6c42334b4156a9f8301ebc5e3b0b2,A_r1_s31017_t3_conic,True,True,False,False,32.808707997901365,67.90595799975563,25.375832999998238,"[""14436143148310501919235009980780958189697"",""893241213167463466591358344508391555072""]",A_r1_s31017_t3_factor,True,True,True,False,79.92050000029849,137.2767909997492,4.735250004159752,"[""89065373078712219895274397122215654760801203119428349319"",""4945944027506491725008147255344302435110922786390933504""]",47.111792002397124,69.37083299999358
31017,4,0,31017_4,4a8148a7ab627cf3f259c6e60df86ad47973ee01490bfe164034ca1ba10faaf5,fdd937a50ec8c4a28c62f2b1ec78ba15e46c7a39d0a01c699522bffc62cd1f36,39c75ee513e4a6561ba26d5df93519b85af6c42334b4156a9f8301ebc5e3b0b2,A_r0_s31017_t4_conic,True,True,False,False,35.42224999546306,69.98483299685176,26.714166000601836,"[""14463172333034505888549541528244716315657"",""893241213167463466591358344508391555072""]",A_r0_s31017_t4_factor,True,True,False,True,47.31083299702732,82.23637499759207,37.722082997788675,"[""14463172333034505888549541528244716315657"",""893241213167463466591358344508391555072""]",11.888583001564257,12.2515420007403
31017,4,1,31017_4,4a8148a7ab627cf3f259c6e60df86ad47973ee01490bfe164034ca1ba10faaf5,fdd937a50ec8c4a28c62f2b1ec78ba15e46c7a39d0a01c699522bffc62cd1f36,39c75ee513e4a6561ba26d5df93519b85af6c42334b4156a9f8301ebc5e3b0b2,A_r1_s31017_t4_conic,True,True,False,False,35.678708998602815,70.16633400053252,27.009375000488944,"[""14463172333034505888549541528244716315657"",""893241213167463466591358344508391555072""]",A_r1_s31017_t4_factor,True,True,False,True,45.782499997585546,80.87979099946097,36.93833400029689,"[""14463172333034505888549541528244716315657"",""893241213167463466591358344508391555072""]",10.103790998982731,10.71345699892845
31017,5,0,31017_5,8c99f6df5781c529dd5c314232cd006d55b1881952ce252caf9b6178fc984f5f,fdd937a50ec8c4a28c62f2b1ec78ba15e46c7a39d0a01c699522bffc62cd1f36,39c75ee513e4a6561ba26d5df93519b85af6c42334b4156a9f8301ebc5e3b0b2,A_r0_s31017_t5_conic,True,True,True,False,92.81524999823887,127.18137499905424,12.375958998745773,"[""86177948560029701118154606720632272260752261469044867199"",""4945944027506491725008147255344302435110922786390933504""]",A_r0_s31017_t5_factor,True,True,True,True,91.53354199952446,126.29124999511987,21.025542002462316,"[""86177948560029701118154606720632272260752261469044867199"",""4945944027506491725008147255344302435110922786390933504""]",-1.2817079987144098,-0.8901250039343722
31017,5,1,31017_5,8c99f6df5781c529dd5c314232cd006d55b1881952ce252caf9b6178fc984f5f,fdd937a50ec8c4a28c62f2b1ec78ba15e46c7a39d0a01c699522bffc62cd1f36,39c75ee513e4a6561ba26d5df93519b85af6c42334b4156a9f8301ebc5e3b0b2,A_r1_s31017_t5_conic,True,True,True,False,82.84458400157746,117.23645900201518,12.382291999529116,"[""86177948560029701118154606720632272260752261469044867199"",""4945944027506491725008147255344302435110922786390933504""]",A_r1_s31017_t5_factor,True,True,True,True,91.53033399343258,126.62724999972852,21.02470799582079,"[""86177948560029701118154606720632272260752261469044867199"",""4945944027506491725008147255344302435110922786390933504""]",8.685749991855118,9.390790997713339
31017,6,0,31017_6,1fe5ba227abe8cf32d75f5e47d7149ee7fac52fa9b6b9edbde2d06eb8e5c30ae,fdd937a50ec8c4a28c62f2b1ec78ba15e46c7a39d0a01c699522bffc62cd1f36,39c75ee513e4a6561ba26d5df93519b85af6c42334b4156a9f8301ebc5e3b0b2,A_r0_s31017_t6_conic,True,True,True,False,94.18566699605435,128.20866699621547,25.242542003979906,"[""11940902944491892177998837275380141195299518008541383"",""690003352051686903600466972006738620969715790512128""]",A_r0_s31017_t6_factor,True,True,True,True,103.46587499952875,138.26629100367427,33.20858300139662,"[""11940902944491892177998837275380141195299518008541383"",""690003352051686903600466972006738620969715790512128""]",9.2802080034744,10.057624007458799
31017,6,1,31017_6,1fe5ba227abe8cf32d75f5e47d7149ee7fac52fa9b6b9edbde2d06eb8e5c30ae,fdd937a50ec8c4a28c62f2b1ec78ba15e46c7a39d0a01c699522bffc62cd1f36,39c75ee513e4a6561ba26d5df93519b85af6c42334b4156a9f8301ebc5e3b0b2,A_r1_s31017_t6_conic,True,True,True,False,96.1480410041986,131.10012499964796,25.356459002068732,"[""11940902944491892177998837275380141195299518008541383"",""690003352051686903600466972006738620969715790512128""]",A_r1_s31017_t6_factor,True,True,True,True,104.93270800361643,139.81208300538128,33.26783399825217,"[""11940902944491892177998837275380141195299518008541383"",""690003352051686903600466972006738620969715790512128""]",8.784666999417823,8.711958005733322
31017,7,0,31017_7,0e86f5d4b0e11992ec3c6369e9aa01615f45c48e3d9d3a4daea4b14cb9c798ea,fdd937a50ec8c4a28c62f2b1ec78ba15e46c7a39d0a01c699522bffc62cd1f36,39c75ee513e4a6561ba26d5df93519b85af6c42334b4156a9f8301ebc5e3b0b2,A_r0_s31017_t7_conic,True,True,True,False,89.15104199695634,123.40074999519857,25.366957997903228,"[""42099886586709558433712169405907277679717938554737673"",""2415011732180904162601634402023585173394005266792448""]",A_r0_s31017_t7_factor,True,True,False,False,25.27399999962654,57.124540995573625,4.783333002706058,"[""28895382482629119491154308031952632742819"",""1786482426334926933182716689016783110144""]",-63.8770419973298,-66.27620899962494
31017,7,1,31017_7,0e86f5d4b0e11992ec3c6369e9aa01615f45c48e3d9d3a4daea4b14cb9c798ea,fdd937a50ec8c4a28c62f2b1ec78ba15e46c7a39d0a01c699522bffc62cd1f36,39c75ee513e4a6561ba26d5df93519b85af6c42334b4156a9f8301ebc5e3b0b2,A_r1_s31017_t7_conic,True,True,True,False,91.53883399994811,126.55029199959245,25.8467079984257,"[""42099886586709558433712169405907277679717938554737673"",""2415011732180904162601634402023585173394005266792448""]",A_r1_s31017_t7_factor,True,True,False,False,24.382374998822343,58.45454199879896,5.031833999964874,"[""28895382482629119491154308031952632742819"",""1786482426334926933182716689016783110144""]",-67.15645900112577,-68.09575000079349
